YEAR,PFR_ID,Week,PPR,predicted_PPR
2024,JohnTy02,5,1.5,5.199475845280904
2024,JohnTy02,6,3.4,6.460256308093275
2024,JohnTy02,7,7.4,4.985550714758586
2024,JohnTy02,9,2.3,5.366821813815599
2024,JohnTy02,10,6.2,4.36187220977133
2024,JohnTy02,11,1.8,4.484307744766044
2024,JohnTy02,13,4.7,5.076342079338632
2024,JohnTy02,14,13.5,5.606643571821233
2024,JohnTy02,15,17.3,5.60295646252829
2024,JohnTy02,16,3.0,8.769194955236637
2024,JohnTy02,17,3.5,5.141562706773066
2024,JohnTy02,18,2.3,6.141721568688901
2024,JoneAa00,1,18.9,13.59415333526869
2024,JoneAa00,2,9.8,13.304589125763936
2024,JoneAa00,3,25.8,12.104063777736942
2024,JoneAa00,4,17.9,14.256538201638511
2024,JoneAa00,5,6.3,13.434492339231717
2024,JoneAa00,7,20.6,13.554078850112978
2024,JoneAa00,8,11.5,15.26283629948315
2024,JoneAa00,9,12.2,12.389988800024607
2024,JoneAa00,10,12.1,14.03630867185649
2024,JoneAa00,11,5.3,12.897490489349165
2024,JoneAa00,12,19.9,13.886221997769788
2024,JoneAa00,13,9.8,15.62951622246201
2024,JoneAa00,14,16.4,11.719246019504164
2024,JoneAa00,15,18.6,14.054624919362222
2024,JoneAa00,16,12.3,12.63501990337684
2024,JoneAa00,17,11.7,13.574564592376984
2024,JoneAa00,18,12.5,12.864947312878746
2024,JoneTo04,18,11.5,6.345261458182751
2024,JuszKy00,1,6.0,4.041429059133954
2024,JuszKy00,2,4.9,3.909330821607233
2024,JuszKy00,3,1.6,5.414107129679007
2024,JuszKy00,4,2.2,5.550342596683882
2024,JuszKy00,6,10.6,4.180812117999666
2024,JuszKy00,7,1.4,4.846421313576243
2024,JuszKy00,8,1.7,4.023542353521079
2024,JuszKy00,11,3.2,5.198365977863493
2024,JuszKy00,12,2.4,3.9039962144288562
2024,JuszKy00,14,1.3,3.8335265085423202
2024,JuszKy00,16,3.6,4.771756660965465
2024,JuszKy00,17,7.9,4.147959952180275
2024,JuszKy00,18,12.9,3.9578904062771962
2024,KamaAl00,1,22.0,14.392468080526744
2024,KamaAl00,2,44.0,14.141150301986757
2024,KamaAl00,3,15.7,18.585036879108817
2024,KamaAl00,4,24.9,15.311568433667
2024,KamaAl00,5,12.6,18.850986695036013
2024,KamaAl00,6,17.4,14.911094416680278
2024,KamaAl00,7,8.4,16.056281274948688
2024,KamaAl00,8,18.2,15.186174523438567
2024,KamaAl00,9,27.5,19.01014788733586
2024,KamaAl00,10,15.9,13.259469102877619
2024,KamaAl00,11,12.9,15.94142009244534
2024,KamaAl00,13,15.9,16.660939079396915
2024,KamaAl00,14,12.9,16.304301187534527
2024,KamaAl00,15,17.0,15.109688946090586
2024,KellJo01,18,0.2,7.063050274330389
2024,LuepHu00,1,3.8,3.248173680866726
2024,LuepHu00,3,6.1,3.166878441678912
2024,LuepHu00,4,4.2,2.431108497307031
2024,LuepHu00,5,3.4,3.2580005347803738
2024,LuepHu00,9,2.9,3.0416806579917477
2024,LuepHu00,12,2.0,2.5140295378203517
2024,LuepHu00,13,0.4,2.9644781452181603
2024,LuepHu00,14,1.5,2.717890789846474
2024,LuepHu00,17,1.1,2.7557260711883123
2024,LuepHu00,18,1.5,3.924839368789943
2024,MasoJo00,1,22.2,7.85379136599822
2024,MasoJo00,2,17.4,7.183692113871332
2024,MasoJo00,3,10.8,8.38972262448648
2024,MasoJo00,4,24.0,10.90729928205367
