#G,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV.1,RT%,PBLK.1,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM.1,MTF,1ST,RTG,PFR_ID
17.0,118.0,76.0,64.4,888,11.7,4.0,75.7,73.8,46.1,82.1,,511.0,487.0,95.3,0.0,0.0,197.0,38.6,313.0,61.3,1.0,0.2,392.0,5.2,1.82,8.9,52.0,10.0,11.6,0.0,0.0,,2.0,0.0,14.0,40.0,91.3,CrabMi00
4.0,20.0,13.0,65.0,163,12.5,0.0,74.4,73.7,80.6,72.7,,95.0,91.0,95.8,0.0,0.0,14.0,14.7,81.0,85.3,0.0,0.0,40.0,3.1,1.79,12.2,23.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,8.0,50.6,HankLe00
15.0,45.0,32.0,71.1,451,14.1,5.0,80.3,73.6,79.1,77.0,72.6,502.0,381.0,75.9,104.0,20.7,61.0,12.2,20.0,4.0,416.0,82.9,109.0,3.4,1.18,11.4,35.0,1.0,3.0,0.0,0.0,,1.0,0.0,2.0,25.0,130.9,FasaAn00
13.0,73.0,33.0,45.2,618,18.7,5.0,76.7,73.5,79.1,78.6,64.5,358.0,333.0,93.0,1.0,0.3,67.0,18.7,290.0,81.0,0.0,0.0,133.0,4.0,1.86,18.5,78.0,2.0,5.7,0.0,0.0,,7.0,0.0,1.0,26.0,58.3,MoorDe02
13.0,36.0,27.0,75.0,333,12.3,2.0,70.1,73.4,75.7,75.9,49.9,303.0,226.0,74.6,61.0,20.1,35.0,11.6,3.0,1.0,258.0,85.1,98.0,3.6,1.47,9.1,28.0,1.0,3.6,0.0,0.0,,2.0,0.0,3.0,17.0,98.5,BossKe00
10.0,14.0,12.0,85.7,151,12.6,0.0,70.7,73.1,79.4,71.9,65.0,131.0,93.0,71.0,32.0,24.4,14.0,10.7,4.0,3.1,104.0,79.4,96.0,8.0,1.62,5.6,36.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,6.0,111.6,LeexDo00
5.0,19.0,15.0,78.9,220,14.7,1.0,72.3,72.9,81.1,73.0,,144.0,135.0,93.8,0.0,0.0,48.0,33.3,96.0,66.7,0.0,0.0,99.0,6.6,1.63,8.2,30.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,12.0,110.5,MorgJo00
16.0,117.0,67.0,57.3,1061,15.8,4.0,73.6,72.9,40.0,47.6,,623.0,593.0,95.2,0.0,0.0,293.0,47.0,330.0,53.0,0.0,0.0,315.0,4.7,1.79,12.2,56.0,9.0,11.8,0.0,0.0,,2.0,1.0,3.0,51.0,91.9,BoldAn00
12.0,48.0,28.0,58.3,369,13.2,2.0,73.0,72.8,66.0,76.3,66.1,272.0,258.0,94.9,1.0,0.4,179.0,65.8,93.0,34.2,0.0,0.0,185.0,6.6,1.43,12.5,32.0,2.0,6.7,0.0,0.0,,3.0,0.0,3.0,21.0,70.6,SandEm00
18.0,69.0,43.0,62.3,647,15.0,4.0,77.5,72.4,32.1,78.5,68.6,602.0,430.0,71.4,151.0,25.1,113.0,18.8,9.0,1.5,462.0,76.7,195.0,4.5,1.5,11.3,41.0,8.0,15.7,0.0,0.0,,1.0,0.0,4.0,33.0,106.4,BallJa21
10.0,72.0,43.0,59.7,579,13.5,7.0,71.8,72.1,60.7,33.3,,363.0,351.0,96.7,0.0,0.0,253.0,69.7,110.0,30.3,0.0,0.0,201.0,4.7,1.65,10.9,53.0,4.0,8.5,0.0,0.0,,0.0,0.0,2.0,31.0,117.8,AustMi00
16.0,90.0,45.0,50.0,612,13.6,8.0,71.3,71.9,69.8,78.9,,547.0,515.0,94.1,0.0,0.0,39.0,7.1,508.0,92.9,0.0,0.0,157.0,3.5,1.19,13.6,30.0,3.0,6.3,0.0,0.0,,2.0,0.0,1.0,39.0,92.5,BurrPl00
16.0,63.0,41.0,65.1,518,12.6,4.0,73.2,71.8,52.5,79.9,70.4,375.0,351.0,93.6,1.0,0.3,49.0,13.1,323.0,86.1,1.0,0.3,229.0,5.6,1.48,9.8,45.0,5.0,10.9,0.0,0.0,,0.0,0.0,10.0,27.0,111.7,CribJo01
16.0,109.0,65.0,59.6,815,12.5,5.0,68.7,70.8,78.4,44.9,66.7,535.0,455.0,85.0,46.0,8.6,211.0,39.4,28.0,5.2,266.0,49.7,320.0,4.9,1.79,9.0,41.0,3.0,4.4,0.0,0.0,,2.0,1.0,10.0,39.0,90.6,KellDu00
9.0,56.0,32.0,57.1,484,15.1,2.0,68.1,70.7,50.8,28.5,68.1,289.0,276.0,95.5,1.0,0.3,46.0,15.9,243.0,84.1,0.0,0.0,129.0,4.0,1.75,17.1,52.0,3.0,8.6,0.0,0.0,,2.0,0.0,1.0,19.0,82.7,RiceSi01
4.0,1.0,1.0,100.0,5,5.0,0.0,78.2,70.2,64.7,61.2,,10.0,10.0,100.0,0.0,0.0,1.0,10.0,1.0,10.0,7.0,70.0,1.0,1.0,0.5,4.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,87.5,ReisAl00
16.0,19.0,13.0,68.4,163,12.5,1.0,69.8,69.8,64.4,72.7,63.1,162.0,113.0,69.8,44.0,27.2,25.0,15.4,11.0,6.8,116.0,71.6,47.0,3.6,1.44,9.2,27.0,1.0,7.1,0.0,0.0,,1.0,0.0,2.0,8.0,90.5,HarbCl00
16.0,24.0,16.0,66.7,151,9.4,0.0,68.6,69.7,67.7,73.6,57.5,189.0,131.0,69.3,49.0,25.9,17.0,9.0,2.0,1.1,158.0,83.6,68.0,4.3,1.15,5.7,24.0,1.0,5.9,0.0,0.0,,0.0,0.0,1.0,8.0,83.9,MyerBr00
16.0,96.0,61.0,63.5,785,12.9,2.0,70.4,69.7,77.8,80.7,,506.0,485.0,95.8,0.0,0.0,230.0,45.5,275.0,54.3,1.0,0.2,327.0,5.4,1.62,10.2,43.0,3.0,4.7,0.0,0.0,,5.0,0.0,13.0,39.0,74.3,BreaSt00
17.0,99.0,59.0,59.6,804,13.6,8.0,67.0,69.7,28.2,80.4,74.9,616.0,536.0,87.0,40.0,6.5,159.0,25.8,142.0,23.1,298.0,48.4,251.0,4.3,1.5,12.0,41.0,14.0,19.2,0.0,0.0,,3.0,0.0,4.0,46.0,99.9,FinlJe00
12.0,90.0,46.0,51.1,584,12.7,4.0,70.2,69.5,49.3,79.0,,413.0,390.0,94.4,0.0,0.0,211.0,51.1,202.0,48.9,0.0,0.0,202.0,4.4,1.5,11.1,49.0,7.0,13.2,0.0,0.0,,7.0,0.0,4.0,35.0,54.1,MossSa00
15.0,60.0,37.0,61.7,507,13.7,2.0,70.9,69.4,31.6,77.6,,339.0,325.0,95.9,0.0,0.0,52.0,15.3,287.0,84.7,0.0,0.0,113.0,3.1,1.56,12.9,25.0,7.0,15.9,0.0,0.0,,5.0,0.0,3.0,29.0,65.1,WillRo04
16.0,114.0,75.0,65.8,772,10.3,2.0,67.4,69.2,74.6,28.6,79.3,609.0,538.0,88.3,29.0,4.8,182.0,29.9,34.0,5.6,390.0,64.0,250.0,3.3,1.43,8.5,37.0,5.0,6.3,0.0,0.0,,9.0,2.0,3.0,42.0,58.1,WinsKe01
10.0,5.0,4.0,80.0,63,15.8,0.0,71.3,69.1,72.1,67.0,,44.0,42.0,95.5,0.0,0.0,20.0,45.5,24.0,54.5,0.0,0.0,36.0,9.0,1.5,6.0,22.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,4.0,79.2,DaviRa00
