RANK,PLAYER,#,POS,#G,TEAM,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV,RT%,PBLK,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM,MTF,1ST,RTG
63,Larry Fitzgerald,# 11,WR,16,ARZ,107,69,64.5,734,10.6,6,73.2,72.3,81.0,81.4,-,561,530,94.5,0,0.0,419,74.7,135,24.1,7,1.2,212,3.1,1.38,9.9,37,3,4.2,29,14,48.3,3,0,11,39,91.4
64,Jordan Thomas,# 83,TE,17,HST,23,20,87.0,215,10.8,4,53.5,72.2,71.3,74.6,55.5,246,160,65.0,75,30.5,74,30.1,7,2.8,162,65.9,100,5.0,1.34,6.9,39,1,4.8,3,3,100.0,0,0,2,12,145.2
65,Curtis Samuel,# 10,WR,13,CAR,62,39,62.9,494,12.7,5,71.5,71.9,65.1,44.4,-,318,298,93.7,0,0.0,79,24.8,239,75.2,0,0.0,116,3.0,1.66,12.2,53,3,7.1,18,9,50.0,2,0,9,24,101.1
66,Sammy Watkins,# 14,WR,12,KC,69,50,72.5,695,13.9,3,71.2,71.8,65.6,25.6,69.0,394,365,92.6,1,0.3,143,36.3,247,62.7,4,1.0,312,6.2,1.90,9.3,54,4,7.4,8,3,37.5,0,1,8,30,118.9
67,Tavon Austin,# 10,WR,9,DAL,14,10,71.4,145,14.5,2,71.0,71.7,79.4,83.4,-,88,81,92.0,0,0.0,31,35.2,51,58.0,4,4.5,41,4.1,1.79,14.3,64,0,0.0,1,0,0.0,1,0,3,6,114.6
68,Marvin Jones Jr.,# 11,WR,9,DET,59,35,59.3,508,14.5,5,71.9,71.5,81.3,77.7,-,365,344,94.2,0,0.0,59,16.2,306,83.8,0,0.0,103,2.9,1.48,15.8,39,2,5.4,9,4,44.4,2,0,2,27,101.5
69,Cordarrelle Patterson,# 84,WR,18,NE,34,25,73.5,279,11.2,3,71.1,71.3,64.3,64.2,-,130,127,97.7,0,0.0,38,29.2,79,60.8,0,0.0,204,8.2,2.20,5.7,55,2,7.4,4,0,0.0,0,0,3,12,127.0
69,Demaryius Thomas,# 87,WR,15,HST,87,59,67.8,677,11.5,5,71.5,71.3,51.3,80.3,-,495,459,92.7,0,0.0,164,33.1,329,66.5,2,0.4,279,4.7,1.47,10.7,45,7,10.6,14,7,50.0,2,0,5,37,100.6
71,Darren Waller,# 83,TE,4,OAK,6,6,100.0,75,12.5,0,70.4,71.2,74.6,69.8,64.9,31,29,93.5,1,3.2,5,16.1,10,32.3,15,48.4,59,9.8,2.59,2.7,44,0,0.0,1,1,100.0,0,0,2,4,118.8
71,Tyler Eifert,# 85,TE,4,CIN,18,15,83.3,179,11.9,1,72.0,71.2,65.6,73.0,53.2,106,95,89.6,3,2.8,55,51.9,18,17.0,30,28.3,52,3.5,1.88,10.6,29,1,6.3,5,3,60.0,1,0,1,10,103.5
